account_id,in_degree,out_degree,pagerank,community_id,is_laundering
10:8000EBD30,1,1,0.00014456262499190224,0,0
3209:8000F4670,1,1,0.00014456262499190224,1,0
12:8000F5030,1,1,0.00014456262499190224,2,0
10:8000F5200,1,1,0.00014456262499190224,3,0
1:8000F5AD0,1,1,0.00014456262499190224,4,0
1:8000EBAC0,1,1,0.00014456262499190224,5,0
1:8000EC1E0,1,1,0.00014456262499190224,6,0
1:8000F47F0,1,1,0.00014456262499190224,7,0
1:80012FE50,1,1,0.00014456262499190224,8,0
10:80012FEA0,1,1,0.00014456262499190224,9,0
1420:8005DFEB0,1,1,0.00014456262499190224,10,0
1665:8005E18F0,1,1,0.00014456262499190224,11,0
1665:8005E24C0,1,1,0.00014456262499190224,12,0
1420:8005F2D30,1,1,0.00014456262499190224,13,0
10:800131480,1,1,0.00014456262499190224,14,0
1420:8005FD390,1,2,3.9262734887095274e-05,15,0
10:800058100,0,2,2.190954241558373e-05,16,0
1688:8005FD430,2,1,0.0002058891662800615,17,0
12:80068A1B0,0,1,2.190954241558373e-05,18,0
1:800A5F020,1,1,4.071644869032823e-05,18,0
10:8006AF500,1,1,0.00014456262499190224,19,0
31125:8006AF550,1,1,0.00014456262499190224,20,0
1420:8006A3840,1,2,5.708304294992955e-05,21,0
1292:8006A3890,1,1,3.9262734887095274e-05,22,0
1068:801091650,1,1,4.071644869032823e-05,23,0
1674:800AC8E30,3,2,0.00014047446210969862,24,0
10:80005D5C0,0,1,2.190954241558373e-05,24,0
21611:800AC9010,1,2,3.9262734887095274e-05,25,0
11157:800ACA9C0,1,1,0.00014456262499190224,26,0
11296:800AC8E80,1,1,0.00014456262499190224,27,0
1467:801008340,1,1,3.9262734887095274e-05,28,0
1420:801008520,1,1,8.64940553006083e-05,29,0
1420:8010098B0,1,1,0.00014456262499190224,30,0
1674:801009860,1,4,2.794364010596132e-05,31,0
1068:8012261B0,1,1,0.00014456262499190224,32,0
1411:80100A2C0,1,1,2.794364010596132e-05,33,0
1457:80100D180,1,1,2.794364010596132e-05,34,0
1:80100DB80,1,1,2.794364010596132e-05,35,0
1:8012275D0,1,5,2.647302774463414e-05,36,0
1467:801227620,1,1,2.647302774463414e-05,37,0
12:80141ED50,1,1,2.647302774463414e-05,38,0
1686:8004169F0,1,1,2.647302774463414e-05,39,0
1047:800416A40,1,1,2.647302774463414e-05,40,0
3051:80152BF60,1,1,0.00014456262499190224,41,0
11296:8016B82E0,1,1,0.00014456262499190224,42,0
23842:8016BA970,1,1,0.00014456262499190224,43,0
11904:8016BC320,1,2,3.9262734887095274e-05,44,0
220:8016BC820,1,1,0.00014456262499190224,45,0
701:8016BBEA0,1,1,0.00014456262499190224,46,0
10:8016BBF40,1,1,3.9262734887095274e-05,47,0
13327:8016BA470,0,1,2.190954241558373e-05,48,0
2991:8016BBF90,1,1,4.071644869032823e-05,48,0
2845:8016BC370,1,1,0.00014456262499190224,49,0
1068:801342560,1,1,0.00014456262499190224,50,0
23833:8018859B0,1,1,0.00014456262499190224,51,0
11904:801885E60,1,1,0.00014456262499190224,52,0
21258:801885EB0,1,1,0.00014456262499190224,53,0
22345:8018A5860,1,1,0.00014456262499190224,54,0
12735:8018A5A80,1,1,0.00014456262499190224,55,0
22828:8018A5CF0,1,1,0.00014456262499190224,56,0
1362:8019FB070,1,1,0.00014456262499190224,57,0
3242:801DC7400,1,1,0.00014456262499190224,58,0
23885:8018A6110,1,1,0.00014456262499190224,59,0
2439:801DC6C70,0,1,2.190954241558373e-05,60,0
13037:8018A61B0,1,1,4.071644869032823e-05,60,0
3420:801D9FF00,1,1,0.00014456262499190224,61,0
15768:8149656B0,1,1,0.00014456262499190224,62,0
10:800042E70,1,1,0.00014456262499190224,63,0
10:800043990,1,1,0.00014456262499190224,64,0
12:800054B70,1,2,3.9262734887095274e-05,65,0
10:800052F90,1,1,0.00014456262499190224,66,0
12:800043C00,1,3,3.083529618878968e-05,67,0
1:800056160,1,2,3.9262734887095274e-05,68,0
1:800056370,1,2,3.9262734887095274e-05,69,0
10:800056660,1,1,0.00014456262499190224,70,0
1:800056CB0,1,2,3.9262734887095274e-05,71,0
1:800057620,1,1,0.00014456262499190224,72,0
1:800057A10,1,2,3.9262734887095274e-05,73,0
1:800057D40,1,2,3.9262734887095274e-05,74,0
12:8000551B0,1,1,0.00014456262499190224,75,0
1:800058B80,1,1,0.00014456262499190224,76,0
12:800059230,1,1,0.00014456262499190224,77,0
10:800059840,1,3,3.083529618878968e-05,78,0
1:800059C00,1,1,0.00014456262499190224,79,0
10:800059F50,2,3,3.119232633971792e-05,80,0
70:100428660,0,75,2.190954241558373e-05,81,1
12:80005A2A0,1,1,0.00014456262499190224,82,0
12:800055A70,1,1,0.00014456262499190224,83,0
1:80005AB30,1,2,3.9262734887095274e-05,84,0
10:80005ADE0,1,2,3.9262734887095274e-05,85,0
10:80005B110,1,2,3.9262734887095274e-05,86,0
12:80005B5F0,1,1,0.00014456262499190224,87,0
1:80005B9B0,1,2,3.9262734887095274e-05,88,0
1:80005C0A0,1,2,3.9262734887095274e-05,89,0
1:80005C790,1,1,0.00014456262499190224,90,0
10:8000588D0,1,3,3.083529618878968e-05,91,0
10:80005AD90,1,2,3.9262734887095274e-05,92,0
12:80005D3B0,1,2,3.9262734887095274e-05,93,0
10:80005D980,1,1,0.00014456262499190224,94,0
10:80005E100,1,1,0.00014456262499190224,95,0
12:80005E9C0,1,1,0.00014456262499190224,96,0
1:8000EBF70,2,2,7.227221586610298e-05,97,0
1:8000ECD10,1,1,0.00014456262499190224,98,0
1:8000ECD60,1,1,0.00014456262499190224,99,0
10:8000ED4A0,1,1,0.00014456262499190224,100,0
12:8000ED150,1,1,0.00014456262499190224,101,0
1:8000EDBB0,1,2,3.9262734887095274e-05,102,0
10:8000F2A20,1,1,0.00014456262499190224,103,0
10:8000F15A0,1,1,0.00014456262499190224,104,0
1:800059440,1,1,0.00014456262499190224,105,0
12:8000F42A0,1,2,3.9262734887095274e-05,106,0
1:8000F4D20,1,2,3.9262734887095274e-05,107,0
1:8000F6110,1,1,0.00014456262499190224,108,0
10:8000F6850,1,2,3.9262734887095274e-05,109,0
1:8000F6B10,1,1,0.00014456262499190224,110,0
1:8000F65C0,1,1,0.00014456262499190224,111,0
1:8000F7850,1,3,3.083529618878968e-05,112,0
12:8000F8580,1,1,0.00014456262499190224,113,0
1:8000F8620,1,1,0.00014456262499190224,114,0
10:80005D160,1,1,0.00014456262499190224,115,0
1:8001003A0,2,1,0.00020142628939345852,116,0
12:800056E00,1,1,0.00014456262499190224,117,0
10:800105730,1,1,0.00014456262499190224,118,0
10:800105D30,1,3,3.083529618878968e-05,119,0
12:800105F00,1,2,3.083529618878968e-05,120,0
12:8001068A0,1,1,0.00014456262499190224,121,0
12:800106D00,2,2,7.396911983011834e-05,122,0
3233:800106D50,0,1,2.190954241558373e-05,122,0
1:8001093C0,1,2,3.9262734887095274e-05,123,0
10:80010A2C0,1,1,0.00014456262499190224,124,0
10:80010A750,1,1,0.00014456262499190224,125,0
10:80010B040,1,1,0.00014456262499190224,126,0
220:80010C2F0,1,2,3.9262734887095274e-05,127,0
12:80010C340,1,2,3.9262734887095274e-05,128,0
1:80010C060,1,1,0.00014456262499190224,129,0
10:80010C0B0,1,1,0.00014456262499190224,130,0
10:80010BBD0,1,1,0.00014456262499190224,131,0
3211:80010BD10,1,1,0.00014456262499190224,132,0
10:80005CF10,1,1,0.00014456262499190224,133,0
1:80010F690,1,1,0.00014456262499190224,134,0
3246:800110820,1,1,0.00014456262499190224,135,0
1:80010DEA0,1,1,0.00014456262499190224,136,0
1:800111C30,1,1,0.00014456262499190224,137,0
12:800108290,1,1,0.00014456262499190224,138,0
1:8001082E0,1,1,0.00014456262499190224,139,0
220:800111750,1,1,0.00014456262499190224,140,0
220:800111970,1,1,0.00014456262499190224,141,0
1:8000EEF40,1,1,0.00014456262499190224,142,0
1:8001117A0,1,1,0.00014456262499190224,143,0
12:800113FE0,1,1,0.00014456262499190224,144,0
1:8001142C0,1,2,3.9262734887095274e-05,145,0
12:8001167D0,1,1,0.00014456262499190224,146,0
220:800115860,1,1,0.00014456262499190224,147,0
12:8001193D0,1,1,0.00014456262499190224,148,0
10:800119810,1,1,0.00014456262499190224,149,0
220:800119BA0,1,1,0.00014456262499190224,150,0
10:80011AE70,1,1,0.00014456262499190224,151,0
1:80011B810,1,1,0.00014456262499190224,152,0
10:80011CFB0,1,1,0.00014456262499190224,153,0
1:80011A2A0,0,1,2.190954241558373e-05,154,0
